SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_63_63p25_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 63 253/4
t_domain 3/5 7888229531/2530000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 44 570147542329/323840000000 28825888593/16192000000 upper [-1.7811336784928506212538563255593724280683367358658452222561245625638346722640899e-28 +/- 6.82e-109]
trow 45 28825888593/16192000000 582888001391/323840000000 upper [-5.7663303417238714395762910378474253645157046881875050150990199939290473993263185e-29 +/- 4.65e-109]
trow 46 582888001391/323840000000 294629115461/161920000000 upper [-1.8260515799192757286779315338537269362415755908008412487947351454506743933286376e-29 +/- 1.44e-109]
trow 47 294629115461/161920000000 595628460453/323840000000 upper [-5.6416913981829803531907931542189338118153782807024811990557274620292016122840505e-30 +/- 2.23e-111]
trow 48 595628460453/323840000000 9406229531/5060000000 upper [-1.6942310733719099372089321086886423260920142911774295725628959092382742509513165e-30 +/- 3.81e-110]
trow 49 9406229531/5060000000 121673783903/64768000000 upper [-4.9181085677644947361522605192154861250370774711749431520664218891019558067999404e-31 +/- 7.76e-112]
trow 50 121673783903/64768000000 27942688593/14720000000 upper [-1.3678953091588839631809126551287172905967422101815321437641050027131087762479558e-31 +/- 5.84e-112]
trow 51 27942688593/14720000000 621109378577/323840000000 upper [-3.5901407823997818643483829649755236321014986037849451016324074016771018291617069e-32 +/- 4.81e-112]
trow 52 621109378577/323840000000 156869902027/80960000000 upper [-8.6277822626266427542851919954267496574749824897312213517470904837704467133898352e-33 +/- 1.71e-113]
trow 53 156869902027/80960000000 27558688593/14080000000 upper [-1.7637341740763132988448136148878891677109195723729430816357991522855638457652925e-33 +/- 1.16e-113]
trow 54 27558688593/14080000000 64022006717/32384000000 upper [-2.2930308004150599001723743379678148000029671787647485972049793062726527153969997e-34 +/- 4.70e-114]
trow 55 64022006717/32384000000 1286810363871/647680000000 upper [-4.5788715613238977965128326751270695922163757311975186961982628288996684660557655e-33 +/- 4.54e-113]
