SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_62p75_63_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 251/4 63
t_domain 3/5 654734467/210000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 120 28129313147/10752000000 70587650101/26880000000 upper [-7.0129286658762789233599190464496127822956882089892099011072913530157009449002719e-52 +/- 1.92e-132]
trow 121 70587650101/26880000000 47234678223/17920000000 upper [-3.2662743794853817986623563480616003209424899601349962770278611655645795720325195e-52 +/- 4.31e-132]
trow 122 47234678223/17920000000 8889548071/3360000000 upper [-1.5166485424508139694782003433117173235108476297804126559996215311398875417959084e-52 +/- 2.66e-132]
trow 123 8889548071/3360000000 142761503603/53760000000 upper [-7.0207731719170444040734628207003132977381385411228154130492270863464493288590561e-53 +/- 2.01e-133]
trow 124 142761503603/53760000000 682334467/256000000 upper [-3.2399643854231209865138180954263208090093475801944624205738524313307328351095257e-53 +/- 6.02e-134]
trow 125 682334467/256000000 143818972537/53760000000 upper [-1.4905179415401696034252593834120524792244592504579047541256677010175674188758399e-53 +/- 2.87e-133]
trow 126 143818972537/53760000000 36086926751/13440000000 upper [-6.8353492952253294066953145071468674418241029044031176666963317102710425437600887e-54 +/- 1.38e-135]
trow 127 36086926751/13440000000 48292147157/17920000000 upper [-3.1245958477463953472040595702020062497404825198107921374610932340214525318760909e-54 +/- 1.86e-134]
trow 128 48292147157/17920000000 72702587969/26880000000 upper [-1.4236960688763522983691571019793590772088413955933252042885685608483092449048990e-54 +/- 1.76e-134]
trow 129 72702587969/26880000000 29186782081/10752000000 upper [-6.4655882230833403735803795585298292975516714870505675308935696330749428778656928e-55 +/- 1.13e-135]
