SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice2
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1101/16 1103/16
t_domain 3/5 34411767481/11030000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 22 461919907329/352960000000 1875473396797/1411840000000 upper [-3.1860324024842335099850029780267616092773631044351308348469002381649703570859209e-20 +/- 9.53e-101]
trow 23 1875473396797/1411840000000 951633582139/705920000000 upper [-1.3424302839081178451861259136640251187722341893036710049656997465885936842175505e-20 +/- 3.17e-100]
trow 24 951633582139/705920000000 1931060931759/1411840000000 upper [-5.5770509181369538257277345950271825915051641789894967215199071272205880708687694e-21 +/- 1.58e-101]
trow 25 1931060931759/1411840000000 48971367481/35296000000 upper [-2.2844554857610287426499715999536546903526093782727265155489435500128373157286374e-21 +/- 4.53e-101]
trow 26 48971367481/35296000000 1986648466721/1411840000000 upper [-9.2260441698693186995353869088585345889560737660740068753200597788976458661823586e-22 +/- 3.66e-102]
trow 27 1986648466721/1411840000000 1007221117101/705920000000 upper [-3.6735970141213774994774793996477599665479389367994905961484555746777350084427308e-22 +/- 6.26e-103]
trow 28 1007221117101/705920000000 2042236001683/1411840000000 upper [-1.4420998208862857056931796959987084240941313396446809882653910681317684320270990e-22 +/- 2.06e-102]
trow 29 2042236001683/1411840000000 517507442291/352960000000 upper [-5.5809594698592860560545981195447646924307466425591985591747034898942474811147724e-23 +/- 3.10e-103]
trow 30 517507442291/352960000000 419564707329/282368000000 upper [-2.1291569720214239654984522993003829640667362668612876897915678693090002767423048e-23 +/- 7.84e-104]
trow 31 419564707329/282368000000 1062808652063/705920000000 upper [-8.0069053334869550466434097164104768761286409846608196530436911372780755322548339e-24 +/- 3.42e-104]
trow 32 1062808652063/705920000000 2153411071607/1411840000000 upper [-2.9678897056088131113992163219521458640841170968249886128404126971087307791221558e-24 +/- 1.30e-104]
trow 33 2153411071607/1411840000000 136325302443/88240000000 upper [-1.0842160077096139450376955369036726351637039367725809357176270279998274504313881e-24 +/- 3.30e-104]
trow 34 136325302443/88240000000 2208998606569/1411840000000 upper [-3.9032184024248779166684661653013657633035753298692626540211449384488132901365094e-25 +/- 2.56e-105]
trow 35 2208998606569/1411840000000 44735847481/28236800000 upper [-1.3845692882139183077737173648679876238214083808275810886526398370590988925440115e-25 +/- 3.32e-105]
trow 36 44735847481/28236800000 2264586141531/1411840000000 upper [-4.8386425187753411986996739404668052546354202424369641263128182897629797782214511e-26 +/- 3.19e-106]
trow 37 2264586141531/1411840000000 573094977253/352960000000 upper [-1.6656112811770870974569695060417748282376221118348902098241777433552217767079489e-26 +/- 4.20e-106]
trow 38 573094977253/352960000000 2320173676493/1411840000000 upper [-5.6463778521398878842504103965092474169960470962271992285151693532873157559587127e-27 +/- 2.43e-107]
trow 39 2320173676493/1411840000000 1173983721987/705920000000 upper [-1.8845330325455228268001535304748993950595999208963421374323912749942972044583862e-27 +/- 1.82e-107]
trow 40 1173983721987/705920000000 475152242291/282368000000 upper [-6.1906921632359016854613589141928165930119904439838135723277389013899983019691202e-28 +/- 2.02e-108]
trow 41 475152242291/282368000000 300444372367/176480000000 upper [-2.0008635913344127040984727108863334923632057198522588917587623369164385078581377e-28 +/- 1.55e-108]
trow 42 300444372367/176480000000 2431348746417/1411840000000 upper [-6.3597315196558732803306009091342918282398270053497274219331911845200082980824739e-29 +/- 4.59e-109]
trow 43 2431348746417/1411840000000 1229571256949/705920000000 upper [-1.9868437923845671454286042974566282028563415924466443727693718371239168894096960e-29 +/- 2.79e-109]
trow 44 1229571256949/705920000000 2486936281379/1411840000000 upper [-6.0965832445504203264939665057967476086971670053039840679953454651185845192178783e-30 +/- 4.97e-110]
trow 45 2486936281379/1411840000000 125736502443/70592000000 upper [-1.8358168949597961520611543342399052381616487385901343849648623385385008374332558e-30 +/- 4.90e-110]
trow 46 125736502443/70592000000 2542523816341/1411840000000 upper [-5.4187272545018943124086682394061270031253642459579044567833763875191592252273688e-31 +/- 4.00e-111]
trow 47 2542523816341/1411840000000 1285158791911/705920000000 upper [-1.5655004591989094194667943403552443244260805059826502835945948975775215025337034e-31 +/- 6.95e-113]
trow 48 1285158791911/705920000000 2598111351303/1411840000000 upper [-4.4180647081883307695900329714618575797731414954102667032436710789134350458678290e-32 +/- 4.79e-112]
trow 49 2598111351303/1411840000000 41029767481/22060000000 upper [-1.2146134714094501242055179079352866620468023511959733613072274521237718557784548e-32 +/- 2.45e-112]
trow 50 41029767481/22060000000 530739777253/282368000000 upper [-3.2401588714071348899001900506314292630645911544234228060823705450683479298850387e-33 +/- 2.41e-113]
trow 51 530739777253/282368000000 1340746326873/705920000000 upper [-8.3374379426571009877981211073499570430620781331288911109103632243357553350218393e-34 +/- 8.00e-115]
trow 52 1340746326873/705920000000 2709286421227/1411840000000 upper [-2.0496825178019747251379438772218472343375712847953081367944044395800348774829940e-34 +/- 4.45e-114]
trow 53 2709286421227/1411840000000 684270047177/352960000000 upper [-4.7337718642493609692056814642990704871937768025832015152410686536043531413539752e-35 +/- 3.68e-116]
trow 54 684270047177/352960000000 2764873956189/1411840000000 upper [-9.9266662200463010947479968131672069866596714950215164625680645843228032883005647e-36 +/- 4.31e-116]
