SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head c2f03caa5af73629f584b41c756dd4a43b243b23
unit mid_cover_08_201_4_101_2
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 201/4 101/2
t_domain 3/5 3143008627/1010000000
cache_entries 257
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 121 92965250183/32320000000 746259010091/258560000000 upper [-7.7371589025369755810049548219302252166140287005186054611546338327793868801860174e-50 +/- 1.73e-130]
trow 122 746259010091/258560000000 374398009359/129280000000 upper [-3.9995949424074809988400429676418749782931877185182725791509283326135325693894744e-50 +/- 9.91e-131]
trow 123 374398009359/129280000000 150266605469/51712000000 upper [-2.0627785747798817172516597863685434543163741030999025456119203017267611695782801e-50 +/- 1.91e-130]
trow 124 150266605469/51712000000 188467508993/64640000000 upper [-1.0614118140669410518830022923407689310641542453688945294205794944114837128146195e-50 +/- 1.79e-130]
trow 125 188467508993/64640000000 756407044599/258560000000 upper [-5.4488080845554956168870375005219848814580077193179025827159905543594205562289855e-51 +/- 1.47e-131]
trow 126 756407044599/258560000000 379472026613/129280000000 upper [-2.7905866460196564127699489242898487095727416196061579311971566931409583624644813e-51 +/- 2.82e-131]
trow 127 379472026613/129280000000 761481061853/258560000000 upper [-1.4257816673200304605597755713445866202467161924839910940274605736794151633179182e-51 +/- 1.13e-131]
trow 128 761481061853/258560000000 9550225881/3232000000 upper [-7.2670743988762148915313968492305328007002840561275309416737597697319177147304808e-52 +/- 9.05e-133]
trow 129 9550225881/3232000000 766555079107/258560000000 upper [-3.6948106429765821624650820378907400853644839857025527042713240627513450309131209e-52 +/- 4.58e-132]
trow 130 766555079107/258560000000 384546043867/129280000000 upper [-1.8737719588206889009048520421398108347620250383538864238181834861069517321580278e-52 +/- 4.18e-133]
trow 131 384546043867/129280000000 771629096361/258560000000 upper [-9.4771612863406628903195394281566607465622585640004882522642169198846257317769173e-53 +/- 2.90e-133]
trow 132 771629096361/258560000000 193541526247/64640000000 upper [-4.7795073277655560480224222614056640453912615476267399528094219413595270353073355e-53 +/- 2.90e-133]
trow 133 193541526247/64640000000 155340622723/51712000000 upper [-2.4025190047850487673128390586442240389069451218077829317845754542722387538656795e-53 +/- 1.55e-133]
trow 134 155340622723/51712000000 389620061121/129280000000 upper [-1.2029143082730695737559505201628708254581624347273996076040757333778486921624817e-53 +/- 1.07e-134]
trow 135 389620061121/129280000000 781777130869/258560000000 upper [-5.9917459892432509510551646936829526649130794109559214872361177039916604354601538e-54 +/- 3.05e-134]
trow 136 781777130869/258560000000 98039267437/32320000000 upper [-2.9624567115831897287729031957278887778440601148526849471509547032825490648160394e-54 +/- 9.09e-135]
trow 137 98039267437/32320000000 786851148123/258560000000 upper [-1.4479434245465281218761519411885118866013657350627644444252218668445480091758292e-54 +/- 1.95e-134]
trow 138 786851148123/258560000000 3157552627/1034240000 upper [-6.9430238280023368794396440241343912477461430673275146891606643528640690212353124e-55 +/- 4.70e-135]
trow 139 3157552627/1034240000 791925165377/258560000000 upper [-3.2189450745614989060634714829110051952267758478781691911142885764357974670187762e-55 +/- 2.24e-135]
