SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head bc5b6375cf9744e2b0e2cbfd033b86bdc9facfaf
unit codex-mid24-48p5-48p75-20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 97/2 195/4
t_domain 3/5 404407051/130000000
cache_entries 261
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 120 24250016009/8320000000 97326471087/33280000000 upper [-2.3374809013643850296801910222252102071123912187913090360952445360545734168157684e-49 +/- 1.47e-129]
trow 121 97326471087/33280000000 48826439069/16640000000 upper [-1.2283903061811237762860926748059475554300898733499838247208530721337057740188155e-49 +/- 2.06e-129]
trow 122 48826439069/16640000000 97979285189/33280000000 upper [-6.4411311666793627014706619049992802738929480902786235688258054183743097747492283e-50 +/- 1.90e-130]
trow 123 97979285189/33280000000 1228821153/416000000 upper [-3.3698569645994616140920933762460893829633622406949791080060101546721664999998672e-50 +/- 4.85e-130]
trow 124 1228821153/416000000 98632099291/33280000000 upper [-1.7589905360725058625227125073914691453023730850314579485473859734826738487006607e-50 +/- 4.77e-130]
trow 125 98632099291/33280000000 49479253171/16640000000 upper [-9.1597809413654833067138537004383358483936499907786955425869207798999349173525963e-51 +/- 4.24e-131]
trow 126 49479253171/16640000000 99284913393/33280000000 upper [-4.7579624589317929484569787349599567600931279119356006724403108192638212114604114e-51 +/- 1.08e-131]
trow 127 99284913393/33280000000 24902830111/8320000000 upper [-2.4647701635897123287384191649243486067670264166512084206791604591019822311940790e-51 +/- 2.99e-131]
trow 128 24902830111/8320000000 19987545499/6656000000 upper [-1.2728740015196935489647555112450067655173341553008168076300939659391169173022409e-51 +/- 9.66e-132]
trow 129 19987545499/6656000000 50132067273/16640000000 upper [-6.5486813596702647921161159784666885361286893569385866326402586185099526986616515e-52 +/- 5.72e-133]
